"id","asset_or_group","source_path","formats","textures","animation","apparent_scale","visual_style","gameplay_role","license_path","classification","reason","required_rework","next_visual_prototype","eventual_production"
"INV-001","Quaternius Medieval Village MegaKit","external-art-intake/quaternius/medieval-village-megakit/","glTF+bin; FBX; OBJ+MTL","54 PNG plus referenced materials","none","modular pieces; runtime scale not normalized","bright stylized generic village","walls; floors; roofs; fences; village dressing","external-art-intake/quaternius/medieval-village-megakit/License_Standard.txt","TEMPORARY PROTOTYPE","Actual 936-file pack and CC0 source; useful modules but not Barrosan and insufficient for natural terrain/hostile identity","Barrosan material pass and a connected authored building grammar; do not use alone as final family","yes, isolated only","no, not as the final environment family"
"INV-002","Quaternius Fantasy Props MegaKit","external-art-intake/quaternius/fantasy-props-megakit/","glTF+bin; FBX; OBJ+MTL","43 PNG plus referenced materials","none","small props; per-asset bounds vary","bright generic fantasy props","carts; crates; barrels; tools; market and work dressing","external-art-intake/quaternius/fantasy-props-megakit/License_Standard.txt","TEMPORARY PROTOTYPE","Actual 517-file CC0 prop source; supports blocking but cannot supply settlement or hostile silhouette","Recolor only as temporary; replace role-critical props with Barrosan authored groups","yes, sparse prototype dressing","no, not as primary identity"
"INV-003","Quaternius Stylized Nature MegaKit","external-art-intake/quaternius/stylized-nature-megakit/","glTF+bin; FBX; OBJ+MTL","40 PNG plus referenced materials","none","small to medium; import scale requires audit","bright stylized nature","trees; bushes; grass; flowers; rocks","external-art-intake/quaternius/stylized-nature-megakit/License_Standard.txt","TEMPORARY PROTOTYPE","Actual 453-file CC0 nature source; provides coverage but its palette and repetition do not establish Barrosan highland atmosphere","Author a unified temperate palette, shape variants and placement grammar","yes, temporary foliage only","no, replace or substantially rework as a family"
"INV-004","Quaternius Ultimate Modular Men","external-art-intake/quaternius/ultimate-modular-men/","glTF; FBX; BLEND","embedded or source-dependent; no texture folder observed","rigged characters and animation delivery files","character-scale source; normalize to 1 m units","generic stylized modular humanoids","Worker; Farmer; Adventurer placeholders","external-art-intake/quaternius/ultimate-modular-men/License.txt","TEMPORARY PROTOTYPE","Actual 111-file CC0 source with rigs and animation organization; silhouettes are not final Barrosan/Ashen art","Retain for gameplay blocking; replace silhouettes, equipment and faction materials later","yes, recommended temporary unit source","no, not final faction presentation"
"INV-005","v0.370 imported Quaternius village subset","desktop-spikes/godot-salto/assets/third_party/quaternius/v0370/village/","glTF plus copied textures","adjacent v0370 village textures","none","proof-scene scale documented in V0370 manifest","same bright stylized subset","proof walls; floors; roofs; fences; bridge dressing","desktop-spikes/godot-salto/assets/third_party/quaternius/v0370/THIRD_PARTY_NOTICE.md","TEMPORARY PROTOTYPE","The selected subset is explicitly documented as non-production proof content","Keep source notice and use only for smoke/proof","yes, fallback/proof only","no"
"INV-006","v0.370 imported Quaternius nature subset","desktop-spikes/godot-salto/assets/third_party/quaternius/v0370/nature/","glTF plus copied textures","adjacent v0370 nature textures","none","proof-scene scale documented in V0370 manifest","same bright stylized subset","trees; bushes; grass; flowers; rocks","desktop-spikes/godot-salto/assets/third_party/quaternius/v0370/THIRD_PARTY_NOTICE.md","TEMPORARY PROTOTYPE","Useful real imports but visibly part of the v0.373 visual-quality blocker","Use for smoke/proof only; do not rescue final art through rearrangement","yes, fallback/proof only","no"
"INV-007","v0.370 imported Quaternius props subset","desktop-spikes/godot-salto/assets/third_party/quaternius/v0370/props/","glTF plus copied textures","adjacent v0370 prop textures","none","proof-scene scale documented in V0370 manifest","generic stylized props","barrels; crates; wagon; whetstone; temporary resource/camp dressing","desktop-spikes/godot-salto/assets/third_party/quaternius/v0370/THIRD_PARTY_NOTICE.md","TEMPORARY PROTOTYPE","The v0.373 audit found the prop family insufficient for resource and hostile identity","Replace role-critical props with authored resource and hostile groups","yes, fallback/proof only","no"
"INV-008","v0.370 imported Quaternius men subset","desktop-spikes/godot-salto/assets/third_party/quaternius/v0370/men/","embedded glTF","embedded in source glTF","rigged source files","Worker/Farmer/Adventurer at documented proof scale","generic stylized humanoids","temporary Worker; militia; hostile character","desktop-spikes/godot-salto/assets/third_party/quaternius/v0370/THIRD_PARTY_NOTICE.md","TEMPORARY PROTOTYPE","Works for technical unit presence but lacks Barrosan/Ashen silhouette identity","Replace with faction-specific silhouettes and equipment","yes, temporary gameplay prototype","no"
"INV-009","v0.233 modular environment kit","desktop-spikes/godot-salto/assets/v0233/salto_modular_environment_kit.glb","GLB; Blender source","materials authored in source/export","none","1 m contract; Z-up to Godot documented","authored low-poly Barrosan-directed kit; status partial","terrain modules; road; river banks; bridge; landmark precedents","repository-authored; contract at desktop-spikes/godot-salto/assets/v0233/salto_modular_environment_kit.contract.json","KEEP WITH BARROSAN REWORK","Actual GLB and contract provide valuable modules and integration precedent, but the recorded contract is partial and not a complete production world","Author natural terrain/elevation, improve materials and complete roster/bridge/hostile coverage","yes, isolated source study","yes, after authored completion and human approval"
"INV-010","v0.235 Barrosan architecture kit","desktop-spikes/godot-salto/assets/v0235/salto_barrosan_architecture_kit.glb","GLB; Blender source","authored PBR/material slots in source/export","none","1 m contract; roof geometry contract recorded","Barrosan-directed keep/barracks/workshop/mine","architecture landmarks and roof precedents","repository-authored; contract at desktop-spikes/godot-salto/assets/v0235/salto_barrosan_architecture_kit.contract.json","KEEP WITH BARROSAN REWORK","Actual corrected ridge-to-eave architecture exists, but only three corrected modules and the v0.235 slice is not a full settlement family","Extend with domestic/economic/defensive/hostile modules and unified terrain","yes, close study only","yes, after roster expansion and review"
