"category","minimum_requirement","current_evidence","current_classification","satisfies_minimum","remaining_gap","priority"
"buildings","Keep/Main Hall 1","v0.235 keep landmark precedent; no complete approved civic kit","KEEP WITH BARROSAN REWORK","no","author one civic landmark with terrain and role neighbors","critical"
"buildings","Worker/economic structures 2","Barn gold plus partial v0.233/v0.235 modules","KEEP / KEEP WITH BARROSAN REWORK","no","add granary/lumber/forge with distinct silhouettes and yards","critical"
"buildings","Barracks 1","v0.235 barracks/workshop precedent; Quaternius temporary walls","KEEP WITH BARROSAN REWORK","no","author military body, roof, yard and construction stages","critical"
"buildings","House variants 3","House02 gold lineage","KEEP","no","add two domestic variants, porches and gardens","high"
"buildings","Storage/drop-off 1","Quaternius crates/barrels and partial mine modules","TEMPORARY PROTOTYPE","no","author storage body, threshold and resource relationship","high"
"buildings","Watchtower 2","no accepted production tower","none","no","author low and tall defensive silhouettes","high"
"buildings","Wall/gate 6 modules","Quaternius fence subset","TEMPORARY PROTOTYPE","no","author Barrosan wall, corner, gate, end and damaged modules","high"
"buildings","Hostile camp 1 coherent kit","v0.373 fenced wagon-yard failure","TEMPORARY PROTOTYPE","no","purpose-built hostile shelter, barricade, fire and watch point","critical"
"terrain","Continuous grass/elevation","v0.233 contract and v0.373 authored underlay","KEEP WITH BARROSAN REWORK / TEMPORARY PROTOTYPE","no","production terrain/elevation solution with natural edges","critical"
"terrain","Dirt, stone, mud transitions","fallback materials and procedural v0.373 ribbons","TEMPORARY PROTOTYPE","no","authored embedded transitions and yard wear","critical"
"terrain","Recessed river, banks and road tools","v0.373 river/road ribbons failed visual gate","TEMPORARY PROTOTYPE","no","natural riverbed, banks, road integration and bridge landings","critical"
"terrain","Bridge module","v0.233 bridge precedent and v0.373 test bridge","KEEP WITH BARROSAN REWORK / TEMPORARY PROTOTYPE","no","authored abutments, deck, support and bank contact","critical"
"nature","2 deciduous and 1 conifer family","v0.370 Quaternius nature subset","TEMPORARY PROTOTYPE","no","unified temperate Barrosan palette and variants","medium"
"nature","bushes, grasses, reeds, rocks","v0.370 subset provides temporary coverage","TEMPORARY PROTOTYPE","no","authored placement grammar and wet-bank variants","high"
"props","carts, barrels, crates, sacks and tools","Quaternius fantasy props and v0.370 subset","TEMPORARY PROTOTYPE","partial","role-specific Barrosan work clusters and material cohesion","medium"
"props","barricades, tents, campfire and hostile dressing","v0.373 fence/wagon attempt","TEMPORARY PROTOTYPE","no","functional hostile kit with stronger silhouette","critical"
"resources","gold, stone, timber, food and Lume identities","v0.233 mine/Lume precedent; v0.373 weak resource deposit","KEEP WITH BARROSAN REWORK / TEMPORARY PROTOTYPE","no","unmistakable outcrop, work prop and drop-off for each resource","critical"
"units","Worker, Militia, Raider, commander and specialist","Quaternius Worker/Farmer/Adventurer","TEMPORARY PROTOTYPE","no","production faction silhouettes, equipment and animation coverage","critical"
"units","idle, walk, work/brace, action, hit, death","Ultimate Modular Men source includes rigs/animation organization","TEMPORARY PROTOTYPE","partial","verify retarget contract and commission faction-specific set","high"
"integration","GLB/glTF, scale, pivots, collision, LOD and stable sockets","v0.233/v0.235 contracts and v0.355 Barn manifest","KEEP WITH BARROSAN REWORK / KEEP","partial","apply one contract to the next connected kit delivery","critical"
